LoanID;CustomerID;LoanType;Status;RecoveryStatus;StartDate;EndDate;DefaultDate;PrincipalAmount;TotalPaid;InterestRate;PaymentDate;PaymentAmount;MissedPayment
L0008;C0010;Auto;Active;"Partially Recovered";2023-10-20;2037-05-16;NULL;93837.49;26340.16;7.35;2022-04-09;1756.29;0
L0008;C0010;Auto;Active;"Partially Recovered";2023-10-20;2037-05-16;NULL;93837.49;26340.16;7.35;2022-03-07;3116.65;0
L0008;C0010;Auto;Active;"Partially Recovered";2023-10-20;2037-05-16;NULL;93837.49;26340.16;7.35;2022-02-04;1150.87;1
L0008;C0010;Auto;Active;"Partially Recovered";2023-10-20;2037-05-16;NULL;93837.49;26340.16;7.35;2022-01-01;699.12;0
L0009;C0011;Personal;Defaulted;"Fully Recovered";2015-03-10;2035-01-27;2021-04-23;32865.34;49124.08;4.70;2022-04-06;1479.59;0
L0009;C0011;Personal;Defaulted;"Fully Recovered";2015-03-10;2035-01-27;2021-04-23;32865.34;49124.08;4.70;2022-03-09;1268.59;0
L0009;C0011;Personal;Defaulted;"Fully Recovered";2015-03-10;2035-01-27;2021-04-23;32865.34;49124.08;4.70;2022-02-07;2179.00;0
L0009;C0011;Personal;Defaulted;"Fully Recovered";2015-03-10;2035-01-27;2021-04-23;32865.34;49124.08;4.70;2022-01-03;2540.64;0
L0010;C0012;Mortgage;Active;"Partially Recovered";2015-05-03;2034-03-09;NULL;31364.99;62683.06;10.61;2022-04-07;340.16;0
L0010;C0012;Mortgage;Active;"Partially Recovered";2015-05-03;2034-03-09;NULL;31364.99;62683.06;10.61;2022-03-11;283.40;0
L0010;C0012;Mortgage;Active;"Partially Recovered";2015-05-03;2034-03-09;NULL;31364.99;62683.06;10.61;2022-02-06;1552.35;1
L0010;C0012;Mortgage;Active;"Partially Recovered";2015-05-03;2034-03-09;NULL;31364.99;62683.06;10.61;2022-01-03;401.74;0
L0011;C0014;Auto;Active;"Partially Recovered";2022-06-09;2034-10-28;NULL;20842.14;32788.27;14.98;2022-04-01;3457.83;0
L0011;C0014;Auto;Active;"Partially Recovered";2022-06-09;2034-10-28;NULL;20842.14;32788.27;14.98;2022-03-05;395.72;0
L0011;C0014;Auto;Active;"Partially Recovered";2022-06-09;2034-10-28;NULL;20842.14;32788.27;14.98;2022-02-08;1047.57;0
L0012;C0015;Personal;Closed;Unrecovered;2015-10-18;2033-04-29;NULL;69369.76;24845.58;2.36;2022-03-06;177.58;0
L0012;C0015;Personal;Closed;Unrecovered;2015-10-18;2033-04-29;NULL;69369.76;24845.58;2.36;2022-02-06;2611.79;0
L0012;C0015;Personal;Closed;Unrecovered;2015-10-18;2033-04-29;NULL;69369.76;24845.58;2.36;2022-01-01;1359.89;0
L0013;C0016;Personal;Defaulted;"Partially Recovered";2017-09-16;2038-06-05;2021-02-26;14963.21;13592.25;9.85;2022-04-06;1287.93;1
L0013;C0016;Personal;Defaulted;"Partially Recovered";2017-09-16;2038-06-05;2021-02-26;14963.21;13592.25;9.85;2022-03-02;1007.76;1
L0013;C0016;Personal;Defaulted;"Partially Recovered";2017-09-16;2038-06-05;2021-02-26;14963.21;13592.25;9.85;2022-02-08;1738.03;0
L0013;C0016;Personal;Defaulted;"Partially Recovered";2017-09-16;2038-06-05;2021-02-26;14963.21;13592.25;9.85;2022-01-03;1914.51;0
L0014;C0017;Personal;Closed;"Fully Recovered";2020-03-08;2030-03-09;NULL;11053.99;82174.33;16.30;2022-04-05;3296.90;1
L0014;C0017;Personal;Closed;"Fully Recovered";2020-03-08;2030-03-09;NULL;11053.99;82174.33;16.30;2022-03-03;1159.96;1
L0014;C0017;Personal;Closed;"Fully Recovered";2020-03-08;2030-03-09;NULL;11053.99;82174.33;16.30;2022-02-05;3216.74;0
L0015;C0018;Business;Closed;"Partially Recovered";2015-06-24;2036-09-21;NULL;51786.77;42247.48;9.59;2022-04-10;1499.62;0
L0015;C0018;Business;Closed;"Partially Recovered";2015-06-24;2036-09-21;NULL;51786.77;42247.48;9.59;2022-03-11;989.98;0
L0015;C0018;Business;Closed;"Partially Recovered";2015-06-24;2036-09-21;NULL;51786.77;42247.48;9.59;2022-01-31;2994.86;0
L0015;C0018;Business;Closed;"Partially Recovered";2015-06-24;2036-09-21;NULL;51786.77;42247.48;9.59;2022-01-01;447.83;0
L0016;C0019;Mortgage;Active;Unrecovered;2018-08-21;2038-01-05;NULL;41295.28;81045.30;12.65;2022-04-07;420.90;0
L0016;C0019;Mortgage;Active;Unrecovered;2018-08-21;2038-01-05;NULL;41295.28;81045.30;12.65;2022-02-03;518.95;0
L0016;C0019;Mortgage;Active;Unrecovered;2018-08-21;2038-01-05;NULL;41295.28;81045.30;12.65;2022-01-02;1906.14;0
L0017;C0020;Business;Active;"Partially Recovered";2021-04-23;2030-09-08;2022-10-31;5462.74;27524.43;4.15;2022-03-05;1629.72;0
L0017;C0020;Business;Active;"Partially Recovered";2021-04-23;2030-09-08;2022-10-31;5462.74;27524.43;4.15;2022-02-02;1615.69;0
L0017;C0020;Business;Active;"Partially Recovered";2021-04-23;2030-09-08;2022-10-31;5462.74;27524.43;4.15;2022-01-05;573.65;0
L0018;C0021;Auto;Defaulted;"Partially Recovered";2021-07-16;2033-11-02;NULL;98437.02;50661.75;13.03;2022-04-06;1290.91;1
L0018;C0021;Auto;Defaulted;"Partially Recovered";2021-07-16;2033-11-02;NULL;98437.02;50661.75;13.03;2022-03-03;2716.28;1
L0018;C0021;Auto;Defaulted;"Partially Recovered";2021-07-16;2033-11-02;NULL;98437.02;50661.75;13.03;2022-02-07;3021.85;0
L0019;C0022;Personal;Active;"Fully Recovered";2020-03-13;2031-11-22;NULL;54172.70;74669.55;5.39;2022-03-04;3151.78;0
L0019;C0022;Personal;Active;"Fully Recovered";2020-03-13;2031-11-22;NULL;54172.70;74669.55;5.39;2022-02-03;1128.40;0
L0019;C0022;Personal;Active;"Fully Recovered";2020-03-13;2031-11-22;NULL;54172.70;74669.55;5.39;2022-01-01;647.16;0
L0020;C0023;Business;Active;"Fully Recovered";2022-04-13;2036-04-12;2022-09-06;71616.95;67231.28;13.74;2022-04-05;2974.90;0
L0020;C0023;Business;Active;"Fully Recovered";2022-04-13;2036-04-12;2022-09-06;71616.95;67231.28;13.74;2022-03-02;370.91;0
L0020;C0023;Business;Active;"Fully Recovered";2022-04-13;2036-04-12;2022-09-06;71616.95;67231.28;13.74;2022-02-06;154.99;1
L0020;C0023;Business;Active;"Fully Recovered";2022-04-13;2036-04-12;2022-09-06;71616.95;67231.28;13.74;2022-01-02;518.25;1
L0021;C0024;Auto;Closed;"Fully Recovered";2017-03-19;2030-09-01;NULL;15976.74;73362.82;12.78;2022-03-09;2050.79;0
L0021;C0024;Auto;Closed;"Fully Recovered";2017-03-19;2030-09-01;NULL;15976.74;73362.82;12.78;2022-02-07;286.48;1
L0021;C0024;Auto;Closed;"Fully Recovered";2017-03-19;2030-09-01;NULL;15976.74;73362.82;12.78;2022-01-10;549.02;0
L0022;C0025;Business;Active;"Fully Recovered";2021-08-15;2035-12-16;NULL;24796.37;28479.64;12.08;2022-04-01;2509.31;1
L0022;C0025;Business;Active;"Fully Recovered";2021-08-15;2035-12-16;NULL;24796.37;28479.64;12.08;2022-03-06;2623.58;0
L0022;C0025;Business;Active;"Fully Recovered";2021-08-15;2035-12-16;NULL;24796.37;28479.64;12.08;2022-01-31;2033.99;0
L0022;C0025;Business;Active;"Fully Recovered";2021-08-15;2035-12-16;NULL;24796.37;28479.64;12.08;2022-01-06;546.86;1
L0023;C0027;Personal;Defaulted;Unrecovered;2018-09-25;2031-12-26;NULL;47470.13;50747.94;16.27;2022-04-10;220.90;0
L0023;C0027;Personal;Defaulted;Unrecovered;2018-09-25;2031-12-26;NULL;47470.13;50747.94;16.27;2022-03-04;1873.52;0
L0023;C0027;Personal;Defaulted;Unrecovered;2018-09-25;2031-12-26;NULL;47470.13;50747.94;16.27;2022-01-01;2038.67;0
L0024;C0029;Business;Active;Unrecovered;2020-01-24;2033-07-11;2021-02-20;19981.51;74823.80;14.11;2022-04-02;2514.97;0
L0024;C0029;Business;Active;Unrecovered;2020-01-24;2033-07-11;2021-02-20;19981.51;74823.80;14.11;2022-03-11;2902.89;1
L0024;C0029;Business;Active;Unrecovered;2020-01-24;2033-07-11;2021-02-20;19981.51;74823.80;14.11;2022-02-03;2878.68;0
L0024;C0029;Business;Active;Unrecovered;2020-01-24;2033-07-11;2021-02-20;19981.51;74823.80;14.11;2022-01-04;1653.64;1
L0025;C0030;Personal;Defaulted;"Partially Recovered";2020-01-30;2034-07-10;NULL;25127.69;43116.61;8.60;2022-04-02;3424.58;0
L0025;C0030;Personal;Defaulted;"Partially Recovered";2020-01-30;2034-07-10;NULL;25127.69;43116.61;8.60;2022-03-05;3086.91;1
L0025;C0030;Personal;Defaulted;"Partially Recovered";2020-01-30;2034-07-10;NULL;25127.69;43116.61;8.60;2022-02-04;2819.43;0
L0025;C0030;Personal;Defaulted;"Partially Recovered";2020-01-30;2034-07-10;NULL;25127.69;43116.61;8.60;2022-01-02;1424.51;0
L0026;C0031;Mortgage;Closed;Unrecovered;2021-05-13;2036-09-19;NULL;77059.33;22046.13;10.95;2022-04-01;3134.70;0
L0026;C0031;Mortgage;Closed;Unrecovered;2021-05-13;2036-09-19;NULL;77059.33;22046.13;10.95;2022-02-07;1226.86;0
L0027;C0032;Personal;Closed;Unrecovered;2018-02-15;2034-11-01;NULL;46741.70;9177.98;13.00;2022-04-06;792.70;1
L0027;C0032;Personal;Closed;Unrecovered;2018-02-15;2034-11-01;NULL;46741.70;9177.98;13.00;2022-03-06;753.56;0
L0027;C0032;Personal;Closed;Unrecovered;2018-02-15;2034-11-01;NULL;46741.70;9177.98;13.00;2022-01-01;432.32;0
L0028;C0033;Personal;Closed;"Partially Recovered";2017-06-30;2037-07-13;2021-05-15;67450.82;19243.05;14.75;2022-01-08;3518.58;0
L0029;C0034;Business;Closed;"Partially Recovered";2023-12-06;2032-07-23;NULL;62068.11;48224.40;10.38;2022-04-01;2868.84;0
L0029;C0034;Business;Closed;"Partially Recovered";2023-12-06;2032-07-23;NULL;62068.11;48224.40;10.38;2022-03-03;906.55;0
L0029;C0034;Business;Closed;"Partially Recovered";2023-12-06;2032-07-23;NULL;62068.11;48224.40;10.38;2022-01-10;555.92;0
L0030;C0035;Personal;Closed;Unrecovered;2019-11-05;2033-11-26;NULL;22694.75;58776.38;8.29;2022-04-08;2556.29;1
L0030;C0035;Personal;Closed;Unrecovered;2019-11-05;2033-11-26;NULL;22694.75;58776.38;8.29;2022-03-07;675.89;1
L0030;C0035;Personal;Closed;Unrecovered;2019-11-05;2033-11-26;NULL;22694.75;58776.38;8.29;2022-02-03;2172.70;0
L0030;C0035;Personal;Closed;Unrecovered;2019-11-05;2033-11-26;NULL;22694.75;58776.38;8.29;2022-01-04;2889.14;0
L0031;C0036;Auto;Defaulted;Unrecovered;2018-03-23;2035-06-09;NULL;56343.88;65776.12;7.94;2022-04-07;1385.82;0
L0031;C0036;Auto;Defaulted;Unrecovered;2018-03-23;2035-06-09;NULL;56343.88;65776.12;7.94;2022-03-10;1714.38;0
L0031;C0036;Auto;Defaulted;Unrecovered;2018-03-23;2035-06-09;NULL;56343.88;65776.12;7.94;2022-02-09;1683.01;0
L0031;C0036;Auto;Defaulted;Unrecovered;2018-03-23;2035-06-09;NULL;56343.88;65776.12;7.94;2022-01-08;2808.22;0
L0032;C0037;Auto;Closed;Unrecovered;2022-01-10;2038-07-22;2022-06-24;20061.62;22607.56;11.77;2022-04-07;2793.92;0
L0032;C0037;Auto;Closed;Unrecovered;2022-01-10;2038-07-22;2022-06-24;20061.62;22607.56;11.77;2022-03-07;1248.97;0
L0032;C0037;Auto;Closed;Unrecovered;2022-01-10;2038-07-22;2022-06-24;20061.62;22607.56;11.77;2022-01-03;736.12;1
L0033;C0039;Business;Active;"Partially Recovered";2021-10-04;2032-07-09;NULL;6261.51;4168.18;4.37;2022-04-06;3478.76;0
L0033;C0039;Business;Active;"Partially Recovered";2021-10-04;2032-07-09;NULL;6261.51;4168.18;4.37;2022-03-04;1487.99;1
L0033;C0039;Business;Active;"Partially Recovered";2021-10-04;2032-07-09;NULL;6261.51;4168.18;4.37;2022-01-09;2856.56;0
L0034;C0040;Mortgage;Closed;"Partially Recovered";2022-12-09;2032-01-02;NULL;18624.13;83506.54;2.94;2022-03-11;1250.34;0
L0034;C0040;Mortgage;Closed;"Partially Recovered";2022-12-09;2032-01-02;NULL;18624.13;83506.54;2.94;2022-01-31;576.78;0
L0034;C0040;Mortgage;Closed;"Partially Recovered";2022-12-09;2032-01-02;NULL;18624.13;83506.54;2.94;2022-01-08;459.56;1
L0035;C0041;Auto;Defaulted;"Fully Recovered";2018-08-29;2035-05-01;NULL;25952.25;36718.82;14.20;2022-04-04;810.66;0
L0035;C0041;Auto;Defaulted;"Fully Recovered";2018-08-29;2035-05-01;NULL;25952.25;36718.82;14.20;2022-03-06;1232.76;0
L0035;C0041;Auto;Defaulted;"Fully Recovered";2018-08-29;2035-05-01;NULL;25952.25;36718.82;14.20;2022-01-06;516.38;0
L0036;C0042;Personal;Active;"Fully Recovered";2015-07-30;2032-09-26;NULL;67129.65;60036.87;2.08;2022-04-02;196.06;0
L0036;C0042;Personal;Active;"Fully Recovered";2015-07-30;2032-09-26;NULL;67129.65;60036.87;2.08;2022-03-09;2822.62;0
L0036;C0042;Personal;Active;"Fully Recovered";2015-07-30;2032-09-26;NULL;67129.65;60036.87;2.08;2022-02-08;2179.04;0
L0036;C0042;Personal;Active;"Fully Recovered";2015-07-30;2032-09-26;NULL;67129.65;60036.87;2.08;2022-01-04;2677.57;0
L0037;C0043;Mortgage;Closed;"Partially Recovered";2021-02-07;2034-07-12;NULL;19860.57;2259.41;11.44;2022-04-03;1804.70;0
L0037;C0043;Mortgage;Closed;"Partially Recovered";2021-02-07;2034-07-12;NULL;19860.57;2259.41;11.44;2022-02-04;1855.03;0
L0038;C0044;Personal;Active;Unrecovered;2015-06-30;2032-07-03;2022-07-07;45322.68;6036.40;11.99;2022-04-07;1020.22;0
L0038;C0044;Personal;Active;Unrecovered;2015-06-30;2032-07-03;2022-07-07;45322.68;6036.40;11.99;2022-02-03;3452.63;0
L0038;C0044;Personal;Active;Unrecovered;2015-06-30;2032-07-03;2022-07-07;45322.68;6036.40;11.99;2022-01-05;2391.98;1
L0039;C0045;Mortgage;Active;Unrecovered;2020-01-09;2033-03-17;NULL;31323.64;2465.06;9.17;2022-04-03;187.96;0
L0039;C0045;Mortgage;Active;Unrecovered;2020-01-09;2033-03-17;NULL;31323.64;2465.06;9.17;2022-03-11;2120.72;1
L0039;C0045;Mortgage;Active;Unrecovered;2020-01-09;2033-03-17;NULL;31323.64;2465.06;9.17;2022-02-07;3581.78;0
L0039;C0045;Mortgage;Active;Unrecovered;2020-01-09;2033-03-17;NULL;31323.64;2465.06;9.17;2022-01-09;1672.74;0
L0040;C0046;Mortgage;Active;"Fully Recovered";2017-07-15;2037-05-03;NULL;59096.15;75258.19;4.97;2022-04-06;2025.21;0
L0040;C0046;Mortgage;Active;"Fully Recovered";2017-07-15;2037-05-03;NULL;59096.15;75258.19;4.97;2022-03-03;1055.99;0
L0040;C0046;Mortgage;Active;"Fully Recovered";2017-07-15;2037-05-03;NULL;59096.15;75258.19;4.97;2022-02-05;562.74;1
L0041;C0047;Business;Active;Unrecovered;2017-06-30;2033-10-19;2022-07-19;89311.99;58274.57;16.82;2022-03-05;3435.49;0
L0041;C0047;Business;Active;Unrecovered;2017-06-30;2033-10-19;2022-07-19;89311.99;58274.57;16.82;2022-01-31;681.89;0
L0041;C0047;Business;Active;Unrecovered;2017-06-30;2033-10-19;2022-07-19;89311.99;58274.57;16.82;2022-01-10;3012.79;0
L0042;C0048;Personal;Defaulted;"Partially Recovered";2021-04-20;2037-03-19;2022-10-10;30274.43;21651.27;15.49;2022-03-11;365.89;0
L0042;C0048;Personal;Defaulted;"Partially Recovered";2021-04-20;2037-03-19;2022-10-10;30274.43;21651.27;15.49;2022-01-09;2980.24;0
L0043;C0049;Auto;Defaulted;Unrecovered;2021-07-17;2037-05-14;2022-07-05;77810.23;55649.59;11.08;2022-03-05;1345.37;0
L0043;C0049;Auto;Defaulted;Unrecovered;2021-07-17;2037-05-14;2022-07-05;77810.23;55649.59;11.08;2022-02-07;2913.78;0
L0044;C0051;Business;Active;Unrecovered;2018-09-25;2036-05-20;NULL;85042.42;89287.06;13.83;2022-01-01;2192.77;0
L0045;C0052;Personal;Closed;"Partially Recovered";2021-05-03;2034-08-02;NULL;25538.48;82672.71;12.06;2022-04-06;2990.86;0
L0045;C0052;Personal;Closed;"Partially Recovered";2021-05-03;2034-08-02;NULL;25538.48;82672.71;12.06;2022-02-08;3582.87;0
L0046;C0053;Mortgage;Defaulted;"Partially Recovered";2023-09-15;2036-08-25;NULL;74516.97;31177.97;2.49;2022-04-07;347.61;0
L0046;C0053;Mortgage;Defaulted;"Partially Recovered";2023-09-15;2036-08-25;NULL;74516.97;31177.97;2.49;2022-03-07;167.75;0
L0046;C0053;Mortgage;Defaulted;"Partially Recovered";2023-09-15;2036-08-25;NULL;74516.97;31177.97;2.49;2022-02-05;3280.76;0
L0046;C0053;Mortgage;Defaulted;"Partially Recovered";2023-09-15;2036-08-25;NULL;74516.97;31177.97;2.49;2022-01-02;614.93;0
L0047;C0054;Auto;Closed;"Partially Recovered";2015-08-28;2038-06-24;NULL;77788.33;60888.77;9.11;2022-03-10;510.86;1
L0048;C0055;Auto;Defaulted;"Partially Recovered";2020-10-06;2037-01-09;NULL;70368.39;77081.09;4.11;2022-04-04;2132.74;0
L0048;C0055;Auto;Defaulted;"Partially Recovered";2020-10-06;2037-01-09;NULL;70368.39;77081.09;4.11;2022-01-05;374.13;1
L0049;C0056;Auto;Active;"Fully Recovered";2015-02-12;2034-02-10;NULL;47252.53;47847.33;15.04;2022-04-04;3188.37;0
L0049;C0056;Auto;Active;"Fully Recovered";2015-02-12;2034-02-10;NULL;47252.53;47847.33;15.04;2022-03-06;1207.31;1
L0049;C0056;Auto;Active;"Fully Recovered";2015-02-12;2034-02-10;NULL;47252.53;47847.33;15.04;2022-02-03;248.57;1
L0050;C0057;Business;Active;Unrecovered;2022-12-18;2034-10-28;NULL;23869.33;44844.73;6.44;2022-04-10;700.73;1
L0050;C0057;Business;Active;Unrecovered;2022-12-18;2034-10-28;NULL;23869.33;44844.73;6.44;2022-03-09;772.51;0
L0050;C0057;Business;Active;Unrecovered;2022-12-18;2034-10-28;NULL;23869.33;44844.73;6.44;2022-02-08;113.48;0
L0050;C0057;Business;Active;Unrecovered;2022-12-18;2034-10-28;NULL;23869.33;44844.73;6.44;2022-01-04;2749.68;0
L0051;C0058;Personal;Active;"Fully Recovered";2023-12-07;2032-04-16;NULL;42653.02;58493.17;5.55;2022-04-01;1349.53;0
L0051;C0058;Personal;Active;"Fully Recovered";2023-12-07;2032-04-16;NULL;42653.02;58493.17;5.55;2022-03-10;566.10;1
L0051;C0058;Personal;Active;"Fully Recovered";2023-12-07;2032-04-16;NULL;42653.02;58493.17;5.55;2022-02-06;2759.67;0
L0051;C0058;Personal;Active;"Fully Recovered";2023-12-07;2032-04-16;NULL;42653.02;58493.17;5.55;2022-01-06;3113.50;0
L0052;C0059;Mortgage;Defaulted;"Fully Recovered";2016-11-08;2034-05-02;NULL;16909.87;11550.76;9.75;2022-04-02;2798.40;0
L0052;C0059;Mortgage;Defaulted;"Fully Recovered";2016-11-08;2034-05-02;NULL;16909.87;11550.76;9.75;2022-03-09;2558.77;1
L0052;C0059;Mortgage;Defaulted;"Fully Recovered";2016-11-08;2034-05-02;NULL;16909.87;11550.76;9.75;2022-02-05;1886.17;0
L0052;C0059;Mortgage;Defaulted;"Fully Recovered";2016-11-08;2034-05-02;NULL;16909.87;11550.76;9.75;2022-01-07;596.13;0
L0053;C0060;Auto;Defaulted;"Partially Recovered";2022-04-05;2030-07-31;NULL;30566.49;80094.21;6.84;2022-03-04;2521.32;0
L0054;C0061;Business;Active;Unrecovered;2016-12-18;2033-01-30;2021-03-30;48190.31;76964.63;15.75;2022-01-06;2678.72;1
L0055;C0063;Business;Defaulted;"Partially Recovered";2017-09-08;2036-11-17;NULL;86763.95;82706.11;10.64;2022-04-04;1294.84;0
L0055;C0063;Business;Defaulted;"Partially Recovered";2017-09-08;2036-11-17;NULL;86763.95;82706.11;10.64;2022-03-08;1553.35;1
L0056;C0064;Personal;Defaulted;"Partially Recovered";2019-03-09;2032-06-03;NULL;88221.11;78843.90;2.28;2022-04-02;1702.14;0
L0056;C0064;Personal;Defaulted;"Partially Recovered";2019-03-09;2032-06-03;NULL;88221.11;78843.90;2.28;2022-03-02;1312.58;0
L0056;C0064;Personal;Defaulted;"Partially Recovered";2019-03-09;2032-06-03;NULL;88221.11;78843.90;2.28;2022-02-06;2741.08;0
L0056;C0064;Personal;Defaulted;"Partially Recovered";2019-03-09;2032-06-03;NULL;88221.11;78843.90;2.28;2022-01-03;2771.98;1
L0057;C0065;Personal;Defaulted;"Fully Recovered";2020-10-15;2036-10-30;2022-03-14;82676.67;89448.96;14.29;2022-03-09;1706.84;1
L0057;C0065;Personal;Defaulted;"Fully Recovered";2020-10-15;2036-10-30;2022-03-14;82676.67;89448.96;14.29;2022-02-02;473.59;0
L0058;C0066;Auto;Closed;Unrecovered;2020-10-25;2038-03-17;NULL;22511.71;88590.44;8.60;2022-03-07;1369.20;1
L0058;C0066;Auto;Closed;Unrecovered;2020-10-25;2038-03-17;NULL;22511.71;88590.44;8.60;2022-02-06;104.58;1
L0058;C0066;Auto;Closed;Unrecovered;2020-10-25;2038-03-17;NULL;22511.71;88590.44;8.60;2022-01-09;365.07;0
L0059;C0067;Personal;Active;"Fully Recovered";2015-02-08;2032-01-30;NULL;16647.06;14704.44;6.14;2022-04-08;3147.71;1
L0059;C0067;Personal;Active;"Fully Recovered";2015-02-08;2032-01-30;NULL;16647.06;14704.44;6.14;2022-03-11;1992.94;0
L0059;C0067;Personal;Active;"Fully Recovered";2015-02-08;2032-01-30;NULL;16647.06;14704.44;6.14;2022-02-05;3513.36;1
L0060;C0068;Personal;Closed;"Fully Recovered";2023-07-02;2034-01-22;NULL;84399.11;46830.61;3.36;2022-04-08;906.44;1
L0060;C0068;Personal;Closed;"Fully Recovered";2023-07-02;2034-01-22;NULL;84399.11;46830.61;3.36;2022-03-07;1258.60;0
L0060;C0068;Personal;Closed;"Fully Recovered";2023-07-02;2034-01-22;NULL;84399.11;46830.61;3.36;2022-02-01;3177.34;0
L0060;C0068;Personal;Closed;"Fully Recovered";2023-07-02;2034-01-22;NULL;84399.11;46830.61;3.36;2022-01-09;2781.36;0
L0061;C0069;Personal;Closed;"Partially Recovered";2019-11-30;2037-02-26;NULL;47564.93;45013.12;16.67;2022-04-02;2041.54;1
L0061;C0069;Personal;Closed;"Partially Recovered";2019-11-30;2037-02-26;NULL;47564.93;45013.12;16.67;2022-03-11;859.51;1
L0061;C0069;Personal;Closed;"Partially Recovered";2019-11-30;2037-02-26;NULL;47564.93;45013.12;16.67;2022-02-08;1846.33;0
L0062;C0070;Auto;Active;"Partially Recovered";2015-07-29;2032-08-29;NULL;57011.80;77022.78;7.12;2022-03-04;2272.65;0
L0062;C0070;Auto;Active;"Partially Recovered";2015-07-29;2032-08-29;NULL;57011.80;77022.78;7.12;2022-02-06;859.81;1
L0062;C0070;Auto;Active;"Partially Recovered";2015-07-29;2032-08-29;NULL;57011.80;77022.78;7.12;2022-01-08;729.74;0
L0063;C0071;Mortgage;Active;"Partially Recovered";2018-07-06;2037-07-23;NULL;51249.22;4141.99;7.55;2022-04-02;556.08;0
L0063;C0071;Mortgage;Active;"Partially Recovered";2018-07-06;2037-07-23;NULL;51249.22;4141.99;7.55;2022-03-11;525.26;0
L0063;C0071;Mortgage;Active;"Partially Recovered";2018-07-06;2037-07-23;NULL;51249.22;4141.99;7.55;2022-02-02;522.68;0
L0063;C0071;Mortgage;Active;"Partially Recovered";2018-07-06;2037-07-23;NULL;51249.22;4141.99;7.55;2022-01-05;2134.28;0
L0064;C0072;Mortgage;Defaulted;"Fully Recovered";2023-07-08;2031-05-24;2021-06-23;5471.89;54956.70;4.88;2022-03-07;3448.10;1
